Size (hex) / nm,fpath
198.82,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
1124.08,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
222.13,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
163.61,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
240.11,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
249.98,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
804.61,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
279.88,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
198.82,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
222.13,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
163.61,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
272.76,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
240.11,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
249.98,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
804.61,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
279.88,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
203.80,C:/Users/grl31/Documents/GitHub/phd-work/particle-counter/example_data/LN-010_004.tif
